Questions,GroundTruth
"Which job role is responsible for managing the security of the data in a database, implementing backup and recovery plans, and monitoring the performance of database solutions?

Select only one answer.

A. database administrator

B. data analyst

C. data engineer

D. database user",A 
"Which two keys are needed to create a one-to-many relationship between two tables in a relational database? Each correct answer presents part of the solution.

Select all answers that apply.

A. a foreign key

B. a primary key

C. a unique key

D. an index key",AB
"Which SQL operation is used to combine the content of two tables based on a shared column?

Select only one answer.

A. `HAVING`

B. INTERSECT

C. JOIN

D. UNION",C
"Select the answer that correctly completes the sentence.

[Answer choice] is a process to reduce duplicate data in a database and ensure data integrity.

Select only one answer.

A. Indexing

B. Normalization

C. Projecting

D. Refactoring",B
"No matter how many correct choices there are, strictly no comments or explanations:
Which three statements accurately describe the properties of a table in a relational database? Each correct answer presents a complete solution.

Select all answers that apply.

A. All columns must contain values.

B. A table can have a primary key build on multiple columns.

C. A table can have only one foreign key.

D. Each column must have a datatype.

E. Each row in a table has the same number of columns.",BDE
"You need to recommend a solution that meets the following requirements:

Encapsulates a business logic that can rename the products in a database
Adds entries to tables
What should you include in the recommendation?

Select only one answer.

A. a stored procedure

B. a table-valued function

C. a view

D. an inline function",A
"In a relational database, what can you use to create a virtual table from the results of a SELECT statement?

Select only one answer.

A. a relationship

B. a stored procedure

C. a view

D. an index",C
"Which data service provides a fully managed relational database with close to 100 percent feature parity with Microsoft SQL Server?

Select only one answer.

A. Azure SQL Database

B. Azure SQL Managed Instance

C. Azure Synapse Analytics

D. SQL Server on Azure Virtual Machines",B 
"Which data service allows you to use every feature of Microsoft SQL Server in the cloud?

Select only one answer.

A. Azure SQL Database

B. Azure SQL Managed Instance

C. SQL Server on an Azure Virtual Machines running Linux

D. SQL Server on an Azure Virtual Machines running Windows",D
"Which data service allows you to create a single database that can scale up and down without downtime?

Select only one answer.

A. SQL Azure SQL Database

B. Azure SQL Managed Instance

C. SQL Server on Azure Virtual Machines",B 
"Which data service allows you to control the amount of RAM, change the I/O subsystem configuration, and add or remove CPUs?

Select only one answer.

A. Azure SQL Database

B. Azure SQL Managed Instance

C. SQL Server on Azure Virtual Machines",D
"Which open-source database is a hybrid relational-object database?

Select only one answer.

A. MariaDB

B. MySQL

C. Oracle Database

D. PostgreSQL",D
"Which open-source database has built-in support for temporal data?

Select only one answer.

A. MariaDB

B. MySQL

C. Oracle Database

D. PostgreSQL",A
"What should you use to process large amounts of data by using Apache Hadoop?

Select only one answer.

A. Azure Data Factory

B. Azure Databricks

C. Azure HDInsight

D. Azure Synapse Analytics",C
"Which type of data store uses star schemas, fact tables, and dimension tables?

Select only one answer.

A. data lake

B. data warehouse

C. cube

D. relational database",B
"Which data integration service allows you to orchestrate data flow without coding?

Select only one answer.

A. Azure Data Factory

B. Azure Data Lake

C. Azure Databricks

D. Azure HDInsight",A 
"Which two services allow you to create a pipeline to process data in response to an event? Each correct answer presents a complete solution.

Select all answers that apply.

A. Azure Data Factory

B. Azure Databricks

C. Azure HDInsight

D. Azure Synapse Analytics",AD
"Which two services allow you to pre-process a large volume of data by using Scala? Each correct answer presents a complete solution.

Select all answers that apply.

A. a serverless Apache Spark pool in Azure Synapse Analytics

B. Azure Databricks

C. A dedicated SQL pool in Azure Synapse Analytics

D. The serverless SQL pool in Azure Synapse Analytics",A 
"You have an Azure Cosmos DB service running the SQL API. One of the operational databases has a lot of transactions.

Which service allows you to perform near real-time analytics on the operational data stored in Azure Cosmos DB?

Select only one answer.

A. Azure Data Lake Storage

B. Azure Databricks

C. Azure HDInsight

D. Azure Synapse",D
"
In a stream processing architecture, what can you use to persist the processed results as files?

Select only one answer.

A. Azure Data Lake Storage Gen2

B. Azure Databricks

C. Azure Event Hubs

D. Azure Synapse Analytics",A 
"Which service allows you to perform on-demand analysis of large volumes of data from text logs, websites and IoT devices by using a common querying language for all the data sources?

Select only one answer.

A. Azure Cosmos DB

B. Azure Data Explorer

C. Azure Data Lake Storage Gen2

D. Azure Stream Analytics",B
"Which type of visual in Microsoft Power BI should you use to identify the correlation between two numeric measures?

Select only one answer.

A. bar charts

B. line charts

C. pie charts

D. scatter plots",D
"What should you create in a data model to allow users to drill up and drill down in a report?

Select only one answer.

A. a cube

B. a dimension

C. a hierarchy

D. a fact table",C
"Which data model element represents the entities by which you want to aggregate measures in Microsoft Power BI?

Select only one answer.

A. dimensions

B. facts

C. keys

D. relationships",A 
"Which two visuals in Microsoft Power BI allow you to visually compare numeric values for discrete categories? Each correct answer presents a complete solution.

Select all answers that apply.

A. a bar chart

B. a card

C. a column chart

D. a matrix",AC
"Which visual in Microsoft Power BI allows you to view trends, such as changes in sales over time?

Select only one answer.

A. a card

B. a line chart

C. a pie chart

D. a scatter plot",B
"In the Power BI service, what should you create to share a single page with the most important visuals from reports?

Select only one answer.

A. a dashboard

B. a dataset

C. a scorecard

D. a workspace",A
