Questions,GroundTruth
"You are developing an Apache Spark pipeline to transform data from a source to a target.

You need to filter the data in a column named Category where the category is cars.

Which command should you run?

Select only one answer.

A. df.select(""ProductName"", ""ListPrice"").where((df[""Category""] == ""Cars"")

B. df.select(""ProductName"", ""ListPrice"") | where((df[""Category""] == ""Cars"")

C. df.select(""ProductName"", ""ListPrice"").where((df[""Category""] -eq ""Cars"")

D. df.select(""ProductName"", ""ListPrice"") | where((df[""Category""] -eq ""Cars"")",A
"You have a database named DB1 and a data warehouse named DW1.

You need to ensure that all changes to DB1 are stored in DW1. The solution must meet the following requirements:

Identify that a row has changed, but not the final value of the row.
Minimize the performance impact on the source system.
What should you include in the solution?

Select only one answer.

A. change data capture

B. change tracking

C. merge replication

D. snapshot replication",B
"You use an Azure Databricks pipeline to process a stateful streaming operation.

You need to reduce the amount of state data to improve latency during a long-running steaming operation.

What should you use in the streaming DataFrame?

Select only one answer.

A. a partition

B. a tumbling window

C. a watermark

D. RocksDB state management",C
"You have 500 IoT devices and an Azure subscription.

You plan to build a data pipeline that will process real-time data from the devices.

You need to ensure that the devices can send messages to the subscription.

What should you deploy?

Select only one answer.

A. an Azure event hub

B. an Azure Storage account

C. an Azure Stream Analytics workspace",A
"You are building an Azure Stream Analytics pipeline.

You need to ensure that data in the pipeline is aggregated every five minutes. The aggregates should include all events in the previous ten minutes.

Which windowing function should you use?

Select only one answer.

A. HoppingWindow

B. SessionWindow

C. SlidingWindow

D. TumblingWindow",A
"You need to limit sensitive data exposure to non-privileged users. You must be able to grant and revoke access to the sensitive data.

What should you implement?

Select only one answer.

A. Always Encrypted

B. dynamic data masking

C. row-level security (RLS)

D. transparent data encryption (TDE)",B
"You are implementing an application that queries a table named Purchase in an Azure Synapse Analytics Dedicated SQL pool.

The application must show data only for the currently signed-in user.

You use row-level security (RLS), implement a security policy, and implement a function that uses a filter predicate.

Users in the marketing department report that they cannot see their data.

What should you do to ensure that the marketing department users can see their data?

Select only one answer.

A. Grant the SELECT permission on the function to the Marketing users.

B. Grant the SELECT permission on the Purchase table to the Marketing users.

C. Implement a blocking predicate.

D. Rebuild the function with `SCHEMABINDING=OFF`.",B
"You need to add permissions to an Azure Data Lake Storage Gen2 account that allows assigning POSIX access controls.

Which role should you use?

Select only one answer.

A. Storage Blob Data Contributor

B. Storage Blob Data Delegator

C. Storage Blob Data Owner

D. Storage Blob Data Reader",C
"You have an Azure Data Lake Storage Gen2 account.

You grant developers Read and Write permissions by using ACLs to the files in the path \root\input\cleaned.

The developers report that they cannot open the files.

How should you modify the permissions to ensure that the developers can open the files?

Select only one answer.

A. Add Contributor permission to the developers.

B. Add Execute permissions to the files.

C. Grant Execute permissions to all folders.

D. Grant Execute permissions to the root folder only.",C
"You use Azure Data Factory to connect to a notebook that runs in an Azure Databricks cluster. The connection is set to use access tokens.

You need to revoke a user’s token.

What should you use?

Select only one answer.

A. Access control (IAM)

B. Conditional Access

C. the Admin Console

D. Token Management API 2.0",D
"You have an Azure Storage account named account1.

You need to ensure that requests to account1 can only be made from specific domains.

What should you configure?

Select only one answer.

A. blob public access

B. CDN

C. CORS

D. secure transfer",C
"You have an Azure subscription that contains the following resources:

An Azure Synapse Analytics workspace named workspace1
A virtual network named VNet1 that has two subnets named sn1 and sn2
Five virtual machines that are connected to sn1
You need to ensure that the virtual machines can connect to workspace1. The solution must prevent traffic from the virtual machines to workspace1 from traversing the public internet.

What should you create?

Select only one answer.

A. Application gateway

B. ExpressRoute

C. Network peering

D. Private endpoint

E. Service endpoint",D
"You have a pipeline in an Azure Synapse Analytics workspace. The pipeline runs a stored procedure against the dedicated SQL pool.

The pipeline throws errors occasionally.

You need to check the error information by using the minimum amount of administrative effort.

What should you do?

Select only one answer.

A. Configure diagnostic settings in the workspace.

B. Configure the Activity run ended metric in the workspace.

C. From the Monitor page of Azure Synapse Studio, review the Pipeline runs tab.

D. From the Monitor page of Azure Synapse Studio, review the SQL requests tab.",C
"You have an Azure Synapse Analytics workspace.

You need to measure the performance of SQL queries running on the dedicated SQL pool.

Which two actions achieve the goal? Each correct answer presents a complete solution

Select all answers that apply.

A. From the Monitor page of Azure Synapse Studio, review the Pipeline runs tab.

B. From the Monitor page of Azure Synapse Studio, review the SQL requests tab.

C. Query the sys.dm_pdw_exec_request view.

D. Query the sys.dm_pdw_exec_sessions view.",BC
"You have an Azure Data Factory named ADF1.

You need to ensure that you can analyze pipeline runtimes for ADF1 for the last 90 days.

What should you use?

Select only one answer.

A. Azure Data Factory

B. Azure Monitor

C. Azure Stream Analytics

D. Azure App Insights",B
"You have an Azure Data Factory named ADF1.

You need to review Data Factory pipeline runtimes for the last seven days. The solution must provide a graphical view of the data.

What should you use?

Select only one answer.

A. the Dashboard view of the pipeline runs

B. the List view of the pipeline runs

C. the Gantt view of the pipeline runs

D. the Overview tab of Azure Data Factory Studio",C
"You monitor an Apache Spark job that has been slower than usual during the last two days. The job runs a single SQL statement in which two tables are joined.

You discover that one of the tables has significant data skew.

You need to improve job performance.

Which hint should you use in the query?

Select only one answer.

A. COALESCE

B. REBALANCE

C. `REPARTITION`

D. SKEW",D
"You monitor an Azure Data Factory pipeline that occasionally fails.

You need to implement an alert that will contain failed pipeline run metrics. The solution must minimize development effort.

Which two actions achieve the goal? Each correct answer presents a complete solution.

Select all answers that apply.

A. From Azure portal, create an alert and add the metrics.

B. From the Monitor page of Azure Data Factory Studio, create an alert.

C. Implement a Web activity in the pipeline.

D. Implement a WebHook activity in the pipeline.",AB
"You have an Azure Synapse Analytics workspace that includes a table named Table1.

You are evaluating the use of a clustered columnstore index.

What is the minimum recommended number of rows for clustered columnstore indexes?

Select only one answer.

A. 600,000

B. 6 million

C. 60 million

D. 600 million",C
"You have an Azure Synapse Analytics workspace.

You need to build a materialized view.

Which two items should be included in the SELECT clause of the view? Each correct answer presents part of the solution.

Select all answers that apply.

A. a subquery

B. an aggregate function

C. the GROUP BY clause

D. the HAVING clause

E. the `OPTION` clause",BC
"You have an Azure subscription that contains an Azure SQL database named DB1.

You need to implement row-level security (RLS) for DB1. The solution must block users from updating rows with values that violate RLS.

Which block predicate should you use?

Select only one answer.

A. AFTER INSERT

B. AFTER UPDATE

C. BEFORE DELETE

D. BEFORE UPDATE",B
"You have an Azure Synapse Analytics SQL pool.

You need to monitor currently-executing query executions in the SQL pool.

Which three dynamic management views should you use? Each correct answer presents part of the solution.

Select all answers that apply.

A. sys.dm_exec_cached_plans

B. sys.dm_pdw_exec_requests

C. sys.dm_pdw_errors

D. sys.dm_pdw_request_steps

E. sys.dm_pdw_sql_requests",BDE
"You have 100 retail stores distributed across Asia, Europe, and North America.

You are developing an analytical workload using Azure Stream Analytics that contains sales data for stores in different regions. The workload contains a fact table with the following columns:

Date: Contains the order date
Customer: Contains the customer ID
Store: Contains the store ID
Region Contains the region ID
Product: Contains the product ID
Price: Contains the unit price per product
Quantity: Contains the quantity sold
Amount: Contains the price multiplied by quantity
You need to design a partition solution for the fact table. The solution must meet the following requirements:

Optimize read performance when querying sales data for a single region in a given month.
Optimize read performance when querying sales data for all regions in a given month.
Minimize the number of partitions.
Which column should you use for partitioning?

Select only one answer.

A. Date partitioned by month

B. Product

C. Region

D. Store",A
"You are designing a data partitioning strategy for an Azure Synapse Analytics workload.

You need to implement a distribution strategy that optimizes data load operations.

Which type of distribution should you use?

Select only one answer.

A. Hash

B. replicated tables

C. round-robin",C
"You are importing data into an Azure Synapse Analytics database. The data is being inserted by using PolyBase.

You need to maximize network throughput for the import process.

What should you use?

Select only one answer.

A. Scale the target database out.

B. Scale the target database up.

C. Shard the source data across multiple files.

D. Shard the source data across multiple storage accounts.",C
"You have an Azure Synapse Analytics database named DB1.

You need to import data into DB1. The solution must minimize Azure Data Lake Storage transaction costs.

Which design pattern should you use?

Select only one answer.

A. Store the data in 500-MB files.

B. Store the data in 2,000-byte files.

C. Use a read-access geo-redundant storage (RA-GRS) storage account.

D. Use the Avro file format.

E. Use the ORC file format.",A
"You are designing a database solution that will host data for multiple business units.

You need to ensure that queries from one business unit do not affect the other business units.

Which type of partitioning should you use?

Select only one answer.

A. functional

B. horizontal

C. table

D. vertical",A
"You are designing an Azure Synapse Analytics solution that will be used to analyze patient outcome data from a hospital.

Which database template should you use?

Select only one answer.

A. Healthcare Insurance

B. Healthcare Provider

C. Life Insurance & Annuities

D. Pharmaceuticals",B
"You plan to deploy an Azure Synapse Analytics solution that will use the Retail database template and include three tables from the Business Metrics category.

You need to create a one-to-many relationship from a table in Retail to a table in Business Metrics.

What should you do first?

Select only one answer.

A. Create a database.

B. Publish the database.

C. Select the table in Business Metric.

D. Select the table in Retail.",A
"You have a data solution that includes an Azure SQL database named SQL1 and an Azure Synapse database named SYN1. SQL1 contains a table named Table1. Data is loaded from SQL1 to the SYN1.

You need to ensure that Table1 supports incremental loading.

What should you do?

Select only one answer.

A. Add a new column to track lineage in Table1.

B. Define a new foreign key in Table1.

C. Enable data classification in Microsoft Purview.

D. Enable data lineage in Microsoft Purview.",A
"You have an Azure subscription that uses Microsoft Purview.

You need to identify which assets have been cataloged by Microsoft Purview.

What should you use?

Select only one answer.

A. Azure Data Factory

B. Azure Data Studio

C. the Microsoft Purview compliance portal

D. the Microsoft Purview governance portal",D
