Questions,GroundTruth
"A data engineer needs to streamline a process where a specific AWS Lambda function processes data and subsequently triggers an AWS Glue ETL job. This automated workflow should be simple to manage and fully integrated within the AWS ecosystem.


Which AWS service or feature should the data engineer use to orchestrate this sequence of actions with minimal administrative effort?

 
 
A. Configure Amazon EventBridge to trigger the Lambda function and then the AWS Glue job upon successful completion.

 
 
B. Use AWS Batch to manage a job workflow, first executing the Lambda function as a job and then the AWS Glue job.

 
 
C. Use AWS Glue triggers to initiate the Lambda function and then the AWS Glue job in sequence.

 
 
D. Set up an AWS CodePipeline where the first stage executes the Lambda function and the subsequent stage triggers the AWS Glue job.",C
"A data engineering team is working on migrating large datasets from an on-premises file server to AWS, aiming to use the cloud storage for data analysis tasks. Post-migration, they also need to ensure regular, ongoing data transfers between the on-premises server and Amazon S3 for incremental changes.


Which AWS service should the team use to facilitate this data transfer with the ability to schedule periodic syncs and ensure data is kept current in both locations?

 
 
A. Use AWS DataSync to automate data transfer between the on-premises file server and Amazon S3, with scheduling capabilities.

 
 
B. Implement AWS Transfer Family to manage the transfer of files to and from Amazon S3 and the on-premises server.

 
 
C. Configure an AWS Storage Gateway file gateway for real-time data transfer between on-premises environments and AWS storage services.

 
 
D. Utilize Amazon S3 Transfer Acceleration to expedite the data transfer process from on-premises servers to Amazon S3.",A
"A multinational company employs various big data services including Amazon EMR for data processing and Amazon Athena for ad hoc querying. The company's data engineering team requires a unified metadata repository to store and access table schemas and properties across these services. The team also needs to integrate existing metadata from a legacy Apache Hive system into this unified repository.


Which approach should the data engineering team take to centralize their metadata with minimal development effort?

 
 
A. Implement AWS Lake Formation to manage metadata and govern data access.

 
 
B. Utilize Amazon Athena's integration with the existing Hive metastore to import metadata directly.

 
 
C. Leverage the AWS Glue Data Catalog as the centralized metadata repository.

 
 
D. Set up an Amazon Aurora PostgreSQL-compatible database as a dedicated metadata store.",C
"A data engineering team wants to run SQL queries on their Amazon Redshift cluster from various applications without managing database connections. Which AWS service allows them to submit and manage these queries efficiently?


 
 
A. Use the Amazon Redshift Data API to run and manage SQL queries.

 
 
B. Use the Amazon Redshift Query Editor for direct SQL execution.

 
 
C. Implement AWS Lambda with Redshift as a trigger for query execution.

 
 
D. Deploy Amazon EC2 instances to host applications that connect to Redshift.",A
"A data engineer is using Amazon Athena for querying customer engagement data stored in Amazon S3. The analyst needs to extract information about customer interactions for the year 2023 from a table called interaction_data. The initial query designed to fetch the total interactions per customer for 2023 is not yielding results for some customers known to have interactions in that year. The query needs adjustment to correctly reflect the entire dataset.

The original query is:

SELECT customer_id, sum(interactions)

FROM interaction_data

WHERE year = 2023

GROUP BY customer_id

How should the data engineer modify the Athena query to ensure it includes all relevant customer data for 2023?

 
 
A. Add a LEFT JOIN with another table that lists all customers, ensuring inclusion of customers with zero interactions.

 
 
B. Replace WHERE year = 2023 with a more inclusive condition, such as WHERE year >= 2023, to capture late-recorded data.

 
 
C. Include a subquery to first select distinct customer IDs from the interaction data, then sum interactions for those customers.

 
 
D. Introduce a CASE statement within the SUM function to handle any null values in the interactions column.",A
"A data engineering team at an e-commerce company is optimizing their query performance on Amazon Redshift. They have numerous complex queries running against large, joined datasets and have identified that some queries are not as efficient as they could be. The team has been advised to leverage Redshift’s query optimization features to improve performance. They are considering the use of materialized views to speed up these queries.


Which feature should the team implement to enhance their query performance in Redshift, especially for frequently executed queries that join multiple tables?

 
 
A. Activate Redshift’s automatic workload management (WLM) to dynamically manage memory and prioritize queries.

 
 
B. Enable short query acceleration in Redshift to prioritize execution of the complex join queries.

 
 
C. Configure Redshift Spectrum to offload the complex join queries and utilize external tables for better performance.

 
 
D. Use Redshift’s Query Optimizer with materialized views to precompute and store the results of complex joins.",D
"A digital marketing agency collects customer interaction data through various cloud-based platforms and wants to analyze this data using Amazon Redshift. The data, sourced from multiple SaaS platforms, must be consolidated into an Amazon S3 bucket before analysis. The agency seeks the most straightforward and maintenance-light method to import this data into S3.


Which AWS service or feature should the agency use to streamline the transfer of data from the SaaS platforms to Amazon S3 with minimal operational effort?

 
 
A. Use Amazon EventBridge to route data from SaaS platforms to the S3 bucket.

 
 
B. Use AWS Data Exchange to import third-party data directly into S3.

 
 
C. Use Amazon AppFlow for no-code data transfer between SaaS applications and S3.

 
 
D. Use the AWS Transfer Family to handle SaaS data ingestion into the S3 bucket.",C
"A data engineering team at an e-commerce company needs to analyze historical sales data stored in Amazon S3, alongside real-time data in their Amazon Redshift cluster. The historical data in S3 is in Parquet format and is updated monthly, while the Redshift cluster handles ongoing transactional data. The team wants to query both datasets simultaneously without importing the S3 data into Redshift, seeking an efficient solution to manage and query these datasets together.


Which AWS service or feature should the data engineering team use to query both the historical data in Amazon S3 and the real-time transactional data in Amazon Redshift without data loading or transformation?

 
 
A. Use AWS Glue Data Catalog to combine data from Amazon S3 and Redshift for querying.

 
 
B. Configure Amazon Athena Federated Query to access both S3 and Redshift data sources.

 
 
C. Set up an AWS Data Pipeline to consolidate data in S3 and Redshift for combined querying.

 
 
D. Implement Amazon Redshift Spectrum to query data directly in S3 from Redshift.",D
"An enterprise is looking to automate its data processing workflows on AWS. Whenever a .csv file is uploaded to a specific Amazon S3 bucket, they want a serverless process to convert the file into Apache Parquet format. The goal is to minimize manual intervention and ensure that the process is triggered only by the upload of .csv files.

What is the most efficient method for the data engineer to set up an AWS Lambda function that responds exclusively to the uploading of .csv files into an S3 bucket?
 
 
A. Set up an S3 event notification for s3:ObjectCreateD.Put events, applying a suffix filter for .csv files and designating the Lambda function's ARN as the direct trigger.

 
 
B. Configure an S3 Lifecycle policy to invoke the Lambda function for .csv files added to the bucket.

 
 
C. Establish an Amazon EventBridge rule to trigger the Lambda function on any S3 put action, with a specific filter for .csv file prefixes.

 
 
D. Implement an AWS Step Functions state machine that starts when a .csv file is uploaded to S3, and invoke the Lambda function as the initial step of the workflow.",A
"A data engineer needs to perform a one-time extraction of a specific column from a large dataset in Apache Parquet format stored in an Amazon S3 bucket. The requirement is to accomplish this with minimal setup and execution time.


Which AWS service or feature should the data engineer use to query the single column from the Parquet files with the least operational overhead?

 
 
A. Utilize Amazon Athena to execute a SQL SELECT statement that retrieves the required column from the Parquet files in the S3 bucket.

 
 
B. Use S3 Select to run a SQL SELECT statement to extract the required column from the S3 objects.

 
 
C. Configure Amazon Redshift Spectrum to query the required column directly from the S3 bucket.

 
 
D. Deploy an Amazon EMR cluster with Hive to perform a SELECT query on the column of the Parquet files stored in S3.",B
"A data engineer at a financial analysis firm is responsible for enriching their AWS-based data lake with external financial datasets. The firm requires regular updates of stock market data and economic indicators from various data providers, which should be integrated seamlessly into their Amazon S3-based data lake for further processing and analysis.


Which AWS service should the data engineer use to automate the ingestion of these external financial datasets into their data lake with minimal effort?

 
 
A. Set up a recurring AWS Lambda function to retrieve and upload data from third-party APIs to their S3 data lake.

 
 
B. Use AWS Data Exchange to subscribe to relevant financial datasets and directly import them into their S3 data lake.

 
 
C. Implement an AWS Glue crawler to extract data from external data sources and load it into the data lake.

 
 
D. Configure Amazon AppFlow to create flows between the data providers and S3, syncing the financial datasets to the data lake.",B
"A financial firm's Amazon Redshift cluster manages a table named FinancialRecords, which undergoes frequent data updates and deletions. The table uses an interleaved sort key based on transaction types. Concerned about the growing disk space usage and diminishing query performance, the firm seeks to optimize the table's storage efficiency and maintain the sort key's effectiveness.


Which Amazon Redshift command should a data engineer use to address these issues?

 
 
A. VACUUM FULL FinancialRecords

 
 
B. VACUUM DELETE ONLY FinancialRecords

 
 
C. ALTER TABLE FinancialRecords APPEND FROM STAGING_TABLE

 
 
D. ANALYZE FinancialRecords",A
"A company is integrating a business intelligence (BI) tool with their data warehouse hosted on Microsoft SQL Server. The BI team requires regular data extracts to be transformed and stored in Amazon S3 for further analysis. The BI team needs a solution to manage this ETL process efficiently and at a low cost.


Which AWS service or feature is the most cost-effective for orchestrating an ETL pipeline that extracts data from Microsoft SQL Server, transforms it, and loads it into Amazon S3?

 
 
A. AWS Data Pipeline

 
 
B. AWS Glue workflows

 
 
C. AWS Glue DataBrew

 
 
D. AWS Batch",B
"A data engineer is configuring an AWS Glue job to read data from an Amazon S3 bucket. The data engineer has set up the necessary AWS Glue connection details and an associated IAM role. However, when the data engineer attempts to run the AWS Glue job, the data engineer receives an error message that indicates that there are problems with the Amazon S3 VPC gateway endpoint.
The data engineer must resolve the error and connect the AWS Glue job to the S3 bucket.
Which solution will meet this requirement?

A. Update the AWS Glue security group to allow inbound traffic from the Amazon S3 VPC gateway endpoint.
B. Configure an S3 bucket policy to explicitly grant the AWS Glue job permissions to access the S3 bucket.
C. Review the AWS Glue job code to ensure that the AWS Glue connection details include a fully qualified domain name.
D. Verify that the VPC's route table includes inbound and outbound routes for the Amazon S3 VPC gateway endpoint.",D
"A retail company has a customer data hub in an Amazon S3 bucket. Employees from many countries use the data hub to support company-wide analytics. A governance team must ensure that the company's data analysts can access data only for customers who are within the same country as the analysts.
Which solution will meet these requirements with the LEAST operational effort?

A. Create a separate table for each country's customer data. Provide access to each analyst based on the country that the analyst serves.
B. Register the S3 bucket as a data lake location in AWS Lake Formation. Use the Lake Formation row-level security features to enforce the company's access policies.
C. Move the data to AWS Regions that are close to the countries where the customers are. Provide access to each analyst based on the country that the analyst serves.
D. Load the data into Amazon Redshift. Create a view for each country. Create separate IAM roles for each country to provide access to data from each country. Assign the appropriate roles to the analysts.",B
"A media company wants to improve a system that recommends media content to customer based on user behavior and preferences. To improve the recommendation system, the company needs to incorporate insights from third-party datasets into the company's existing analytics platform.
The company wants to minimize the effort and time required to incorporate third-party datasets.
Which solution will meet these requirements with the LEAST operational overhead?

A. Use API calls to access and integrate third-party datasets from AWS Data Exchange.
B. Use API calls to access and integrate third-party datasets from AWS DataSync.
C. Use Amazon Kinesis Data Streams to access and integrate third-party datasets from AWS CodeCommit repositories.
D. Use Amazon Kinesis Data Streams to access and integrate third-party datasets from Amazon Elastic Container Registry (Amazon ECR).",A
"A financial company wants to implement a data mesh. The data mesh must support centralized data governance, data analysis, and data access control. The company has decided to use AWS Glue for data catalogs and extract, transform, and load (ETL) operations.
Which combination of AWS services will implement a data mesh? (Choose two.)

A. Use Amazon Aurora for data storage. Use an Amazon Redshift provisioned cluster for data analysis.
B. Use Amazon S3 for data storage. Use Amazon Athena for data analysis.
C. Use AWS Glue DataBrew for centralized data governance and access control.
D. Use Amazon RDS for data storage. Use Amazon EMR for data analysis.
E. Use AWS Lake Formation for centralized data governance and access control.",BE
"A data engineer maintains custom Python scripts that perform a data formatting process that many AWS Lambda functions use. When the data engineer needs to modify the Python scripts, the data engineer must manually update all the Lambda functions.
The data engineer requires a less manual way to update the Lambda functions.
Which solution will meet this requirement?

A. Store a pointer to the custom Python scripts in the execution context object in a shared Amazon S3 bucket.
B. Package the custom Python scripts into Lambda layers. Apply the Lambda layers to the Lambda functions.
C. Store a pointer to the custom Python scripts in environment variables in a shared Amazon S3 bucket.
D. Assign the same alias to each Lambda function. Call reach Lambda function by specifying the function's alias.",B
"A company created an extract, transform, and load (ETL) data pipeline in AWS Glue. A data engineer must crawl a table that is in Microsoft SQL Server. The data engineer needs to extract, transform, and load the output of the crawl to an Amazon S3 bucket. The data engineer also must orchestrate the data pipeline.
Which AWS service or feature will meet these requirements MOST cost-effectively?

A. AWS Step Functions
B. AWS Glue workflows
C. AWS Glue Studio
D. Amazon Managed Workflows for Apache Airflow (Amazon MWAA)",B
"A financial services company stores financial data in Amazon Redshift. A data engineer wants to run real-time queries on the financial data to support a web-based trading application. The data engineer wants to run the queries from within the trading application.
Which solution will meet these requirements with the LEAST operational overhead?

A. Establish WebSocket connections to Amazon Redshift.
B. Use the Amazon Redshift Data API. 
C. Set up Java Database Connectivity (JDBC) connections to Amazon Redshift.
D. Store frequently accessed data in Amazon S3. Use Amazon S3 Select to run the queries.",B
"A company uses Amazon Athena for one-time queries against data that is in Amazon S3. The company has several use cases. The company must implement permission controls to separate query processes and access to query history among users, teams, and applications that are in the same AWS account.
Which solution will meet these requirements?

A. Create an S3 bucket for each use case. Create an S3 bucket policy that grants permissions to appropriate individual IAM users. Apply the S3 bucket policy to the S3 bucket.
B. Create an Athena workgroup for each use case. Apply tags to the workgroup. Create an IAM policy that uses the tags to apply appropriate permissions to the workgroup.
C. Create an IAM role for each use case. Assign appropriate permissions to the role for each use case. Associate the role with Athena.
D. Create an AWS Glue Data Catalog resource policy that grants permissions to appropriate individual IAM users for each use case. Apply the resource policy to the specific tables that Athena uses.",B
"A data engineer needs to schedule a workflow that runs a set of AWS Glue jobs every day. The data engineer does not require the Glue jobs to run or finish at a specific time.
Which solution will run the Glue jobs in the MOST cost-effective way?

A. Choose the FLEX execution class in the Glue job properties. 
B. Use the Spot Instance type in Glue job properties.
C. Choose the STANDARD execution class in the Glue job properties.
D. Choose the latest version in the GlueVersion field in the Glue job properties.",A
"A data engineer needs to create an AWS Lambda function that converts the format of data from .csv to Apache Parquet. The Lambda function must run only if a user uploads a .csv file to an Amazon S3 bucket.
Which solution will meet these requirements with the LEAST operational overhead?

A. Create an S3 event notification that has an event type of s3:ObjectCreated:*. Use a filter rule to generate notifications only when the suffix includes .csv. Set the Amazon Resource Name (ARN) of the Lambda function as the destination for the event notification. 
B. Create an S3 event notification that has an event type of s3:ObjectTagging:* for objects that have a tag set to .csv. Set the Amazon Resource Name (ARN) of the Lambda function as the destination for the event notification.
C. Create an S3 event notification that has an event type of s3:*. Use a filter rule to generate notifications only when the suffix includes .csv. Set the Amazon Resource Name (ARN) of the Lambda function as the destination for the event notification.
D. Create an S3 event notification that has an event type of s3:ObjectCreated:*. Use a filter rule to generate notifications only when the suffix includes .csv. Set an Amazon Simple Notification Service (Amazon SNS) topic as the destination for the event notification. Subscribe the Lambda function to the SNS topic.",A
"A data engineer needs Amazon Athena queries to finish faster. The data engineer notices that all the files the Athena queries use are currently stored in uncompressed .csv format. The data engineer also notices that users perform most queries by selecting a specific column.
Which solution will MOST speed up the Athena query performance?

A. Change the data format from .csv to JSON format. Apply Snappy compression.
B. Compress the .csv files by using Snappy compression.
C. Change the data format from .csv to Apache Parquet. Apply Snappy compression. 
D. Compress the .csv files by using gzip compression.",C
"A manufacturing company collects sensor data from its factory floor to monitor and enhance operational efficiency. The company uses Amazon Kinesis Data Streams to publish the data that the sensors collect to a data stream. Then Amazon Kinesis Data Firehose writes the data to an Amazon S3 bucket.
The company needs to display a real-time view of operational efficiency on a large screen in the manufacturing facility.
Which solution will meet these requirements with the LOWEST latency?

A. Use Amazon Managed Service for Apache Flink (previously known as Amazon Kinesis Data Analytics) to process the sensor data. Use a connector for Apache Flink to write data to an Amazon Timestream database. Use the Timestream database as a source to create a Grafana dashboard. 
B. Configure the S3 bucket to send a notification to an AWS Lambda function when any new object is created. Use the Lambda function to publish the data to Amazon Aurora. Use Aurora as a source to create an Amazon QuickSight dashboard.
C. Use Amazon Managed Service for Apache Flink (previously known as Amazon Kinesis Data Analytics) to process the sensor data. Create a new Data Firehose delivery stream to publish data directly to an Amazon Timestream database. Use the Timestream database as a source to create an Amazon QuickSight dashboard.
D. Use AWS Glue bookmarks to read sensor data from the S3 bucket in real time. Publish the data to an Amazon Timestream database. Use the Timestream database as a source to create a Grafana dashboard.",A
"A company stores daily records of the financial performance of investment portfolios in .csv format in an Amazon S3 bucket. A data engineer uses AWS Glue crawlers to crawl the S3 data.
The data engineer must make the S3 data accessible daily in the AWS Glue Data Catalog.
Which solution will meet these requirements?

A. Create an IAM role that includes the AmazonS3FullAccess policy. Associate the role with the crawler. Specify the S3 bucket path of the source data as the crawler's data store. Create a daily schedule to run the crawler. Configure the output destination to a new path in the existing S3 bucket.
B. Create an IAM role that includes the AWSGlueServiceRole policy. Associate the role with the crawler. Specify the S3 bucket path of the source data as the crawler's data store. Create a daily schedule to run the crawler. Specify a database name for the output.
C. Create an IAM role that includes the AmazonS3FullAccess policy. Associate the role with the crawler. Specify the S3 bucket path of the source data as the crawler's data store. Allocate data processing units (DPUs) to run the crawler every day. Specify a database name for the output.
D. Create an IAM role that includes the AWSGlueServiceRole policy. Associate the role with the crawler. Specify the S3 bucket path of the source data as the crawler's data store. Allocate data processing units (DPUs) to run the crawler every day. Configure the output destination to a new path in the existing S3 bucket.",B
"A company loads transaction data for each day into Amazon Redshift tables at the end of each day. The company wants to have the ability to track which tables have been loaded and which tables still need to be loaded.
A data engineer wants to store the load statuses of Redshift tables in an Amazon DynamoDB table. The data engineer creates an AWS Lambda function to publish the details of the load statuses to DynamoDB.
How should the data engineer invoke the Lambda function to write load statuses to the DynamoDB table?

A. Use a second Lambda function to invoke the first Lambda function based on Amazon CloudWatch events.
B. Use the Amazon Redshift Data API to publish an event to Amazon EventBridge. Configure an EventBridge rule to invoke the Lambda function. 
C. Use the Amazon Redshift Data API to publish a message to an Amazon Simple Queue Service (Amazon SQS) queue. Configure the SQS queue to invoke the Lambda function.
D. Use a second Lambda function to invoke the first Lambda function based on AWS CloudTrail events.",B
"A data engineer needs to securely transfer 5 TB of data from an on-premises data center to an Amazon S3 bucket. Approximately 5% of the data changes every day. Updates to the data need to be regularly proliferated to the S3 bucket. The data includes files that are in multiple formats. The data engineer needs to automate the transfer process and must schedule the process to run periodically.
Which AWS service should the data engineer use to transfer the data in the MOST operationally efficient way?

A. AWS DataSync
B. AWS Glue
C. AWS Direct Connect
D. Amazon S3 Transfer Acceleration",A
"A company uses an on-premises Microsoft SQL Server database to store financial transaction data. The company migrates the transaction data from the on-premises database to AWS at the end of each month. The company has noticed that the cost to migrate data from the on-premises database to an Amazon RDS for SQL Server database has increased recently.
The company requires a cost-effective solution to migrate the data to AWS. The solution must cause minimal downtown for the applications that access the database.
Which AWS service should the company use to meet these requirements?

A. AWS Lambda
B. AWS Database Migration Service (AWS DMS)
C. AWS Direct Connect
D. AWS DataSync",B
"A data engineer is building a data pipeline on AWS by using AWS Glue extract, transform, and load (ETL) jobs. The data engineer needs to process data from Amazon RDS and MongoDB, perform transformations, and load the transformed data into Amazon Redshift for analytics. The data updates must occur every hour.
Which combination of tasks will meet these requirements with the LEAST operational overhead? (Choose two.)

A. Configure AWS Glue triggers to run the ETL jobs every hour.
B. Use AWS Glue DataBrew to clean and prepare the data for analytics.
C. Use AWS Lambda functions to schedule and run the ETL jobs every hour.
D. Use AWS Glue connections to establish connectivity between the data sources and Amazon Redshift.
E. Use the Redshift Data API to load transformed data into Amazon Redshift.",AD
"A company uses an Amazon Redshift cluster that runs on RA3 nodes. The company wants to scale read and write capacity to meet demand. A data engineer needs to identify a solution that will turn on concurrency scaling.
Which solution will meet this requirement?

A. Turn on concurrency scaling in workload management (WLM) for Redshift Serverless workgroups.
B. Turn on concurrency scaling at the workload management (WLM) queue level in the Redshift cluster.
C. Turn on concurrency scaling in the settings during the creation of any new Redshift cluster.
D. Turn on concurrency scaling for the daily usage quota for the Redshift cluster.",B
"A data engineer must orchestrate a series of Amazon Athena queries that will run every day. Each query can run for more than 15 minutes.
Which combination of steps will meet these requirements MOST cost-effectively? (Choose two.)

A. Use an AWS Lambda function and the Athena Boto3 client start_query_execution API call to invoke the Athena queries programmatically.
B. Create an AWS Step Functions workflow and add two states. Add the first state before the Lambda function. Configure the second state as a Wait state to periodically check whether the Athena query has finished using the Athena Boto3 get_query_execution API call. Configure the workflow to invoke the next query when the current query has finished running.
C. Use an AWS Glue Python shell job and the Athena Boto3 client start_query_execution API call to invoke the Athena queries programmatically.
D. Use an AWS Glue Python shell script to run a sleep timer that checks every 5 minutes to determine whether the current Athena query has finished running successfully. Configure the Python shell script to invoke the next query when the current query has finished running.
E. Use Amazon Managed Workflows for Apache Airflow (Amazon MWAA) to orchestrate the Athena queries in AWS Batch.",AB
"A company is migrating on-premises workloads to AWS. The company wants to reduce overall operational overhead. The company also wants to explore serverless options.
The company's current workloads use Apache Pig, Apache Oozie, Apache Spark, Apache Hbase, and Apache Flink. The on-premises workloads process petabytes of data in seconds. The company must maintain similar or better performance after the migration to AWS.
Which extract, transform, and load (ETL) service will meet these requirements?

A. AWS Glue
B. Amazon EMR
C. AWS Lambda
D. Amazon Redshift",B
"A data engineer must use AWS services to ingest a dataset into an Amazon S3 data lake. The data engineer profiles the dataset and discovers that the dataset contains personally identifiable information (PII). The data engineer must implement a solution to profile the dataset and obfuscate the PII.
Which solution will meet this requirement with the LEAST operational effort?

A. Use an Amazon Kinesis Data Firehose delivery stream to process the dataset. Create an AWS Lambda transform function to identify the PII. Use an AWS SDK to obfuscate the PII. Set the S3 data lake as the target for the delivery stream.
B. Use the Detect PII transform in AWS Glue Studio to identify the PII. Obfuscate the PII. Use an AWS Step Functions state machine to orchestrate a data pipeline to ingest the data into the S3 data lake.
C. Use the Detect PII transform in AWS Glue Studio to identify the PII. Create a rule in AWS Glue Data Quality to obfuscate the PII. Use an AWS Step Functions state machine to orchestrate a data pipeline to ingest the data into the S3 data lake.
D. Ingest the dataset into Amazon DynamoDB. Create an AWS Lambda function to identify and obfuscate the PII in the DynamoDB table and to transform the data. Use the same Lambda function to ingest the data into the S3 data lake.",B
"A company maintains multiple extract, transform, and load (ETL) workflows that ingest data from the company's operational databases into an Amazon S3 based data lake. The ETL workflows use AWS Glue and Amazon EMR to process data.
The company wants to improve the existing architecture to provide automated orchestration and to require minimal manual effort.
Which solution will meet these requirements with the LEAST operational overhead?

A. AWS Glue workflows
B. AWS Step Functions tasks
C. AWS Lambda functions
D. Amazon Managed Workflows for Apache Airflow (Amazon MWAA) workflows",B
